,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
2005,300426,唐德影视,2.0722,1.3242,16.6572,624.6678,46.1399,53.8601
2006,603996,中新科技,1.6219999999999999,1.1514,24.2357,190.8643,46.136,53.864
2007,600874,创业环保,1.226,1.2163,50.3988,640.5588,46.1206,53.8794
2008,603606,东方电缆,1.4387,1.0098,38.1984,477.4235,46.1117,53.8883
2009,300527,华舟应急,1.4473,0.8918,42.8009,5560.6226,46.1091,53.8909
2010,002583,海能达,1.26,0.9552,12.7704,196.722,46.1073,53.8927
2011,000666,经纬纺机,2.2971,2.1405,122.1315,872.5889,46.0801,53.9199
2012,300043,星辉娱乐,0.9592,0.7809999999999999,27.9757,685.691,46.0157,53.9843
2013,600895,张江高科,1.41,0.4718,36.2665,431.0611,45.9935,54.0065
2014,002524,光正集团,0.5574,0.4055,6.5015,-45.353,45.9743,54.0257
2015,000605,渤海股份,0.5852,0.5442,31.7786,261.2851,45.9556,54.0444
2016,600622,嘉宝集团,2.0585,0.8065,58.6092,1644.2227,45.9206,54.0794
2017,002694,顾地科技,1.0866,0.7567,16.9806,135.1304,45.9073,54.0927
2018,600917,重庆燃气,1.244,1.2062,92.4229,1252.6231,45.907,54.093
2019,600446,金证股份,1.3539,0.8442,42.6013,-90.6342,45.8895,54.1105
2020,600785,新华百货,0.9067,0.5952,23.2453,318.3855,45.8647,54.1353
2021,002535,林州重机,0.9998,0.8061,20.1748,147.9915,45.8563,54.1437
2022,600122,宏图高科,1.8804,1.4621,84.2099,195.4941,45.7861,54.2139
2023,600461,洪城水业,0.946,0.8761,53.2119,569.5438,45.6571,54.3429
2024,600547,山东黄金,0.2955,0.1341,6.6806,564.1385,45.6482,54.3518
2025,600178,东安动力,1.0131,0.9016,13.8773,1251.0805,45.6454,54.3546
2026,600971,恒源煤电,0.8713,0.7947,43.4769,158.7103,45.5867,54.4133
2027,000756,新华制药,0.8296,0.5875,22.0269,347.2776,45.5247,54.4753
2028,002005,德豪润达,0.9345,0.7311,27.5877,183.7313,45.4992,54.5008
2029,300059,东方财富,1.5317,1.5317,94.6846,-1045.2929,45.4622,54.5378
2030,600844,丹化科技,0.5503,0.3775,24.3933,-247.305,45.4599,54.5401
2031,002731,萃华珠宝,1.6005,0.6486,29.2831,160.2997,45.4582,54.5418
2032,002480,新筑股份,1.2454,0.9773,36.982,26.3988,45.4328,54.5672
2033,002426,胜利精密,1.0346,0.8140000000000001,23.9879,1215.2204,45.4256,54.5744
2034,600711,盛屯矿业,1.4982,1.3194,27.239,191.783,45.4165,54.5835
2035,002656,摩登大道,1.1983,0.7561,40.363,-41.9515,45.3918,54.6082
2036,603308,应流股份,1.5696,1.1543,81.4947,186.2505,45.3545,54.6455
2037,300284,苏交科,1.5041,1.4947,52.8757,1767.2695,45.331,54.669
2038,000796,凯撒旅游,1.1582,1.1512,44.1102,493.9729,45.3105,54.6895
2039,300106,西部牧业,1.0247,0.5015,17.8903,3.4615,45.3077,54.6923
2040,300405,科隆精化,1.3457,1.0991,32.1754,135.6745,45.3036,54.6964
2041,000739,普洛药业,0.9348,0.6392,23.1795,594.1052,45.2554,54.7446
2042,600350,山东高速,2.8079,1.335,83.2927,1087.6747,45.2515,54.7485
2043,000049,德赛电池,1.5265,1.2688,24.2043,-1012.3476,45.2445,54.7555
2044,300156,神雾环保,2.6473,1.8462,68.8556,1093.9342,45.2391,54.7609
2045,603555,贵人鸟,1.6123,1.5590000000000002,41.0617,455.6649,45.2013,54.7987
2046,002692,远程电缆,1.3755,1.1131,21.505,417.5449,45.1768,54.8232
2047,600731,湖南海利,1.0192,0.6066,20.5866,306.3262,45.107,54.893
2048,300158,振东制药,0.9827,0.8086,19.2872,279.8489,45.0111,54.9889
2049,002115,三维通信,2.0111,1.3864,22.9922,-99.3358,44.9301,55.0699
2050,600190,锦州港,0.87,0.7764,56.5833,136.727,44.9234,55.0766
2051,600560,金自天正,1.4809999999999999,0.7058,9.2308,-831.0356,44.7799,55.2201
2052,600100,同方股份,1.1178,0.7262,26.1723,2341.2696,44.7441,55.2559
2053,601015,陕西黑猫,0.8428,0.7728,21.5984,47.2756,44.7116,55.2884
2054,002672,东江环保,0.8002,0.7078,29.2596,682.0796,44.7112,55.2888
2055,000413,东旭光电,2.5241,2.2577,190.7341,799.5047,44.6631,55.3369
2056,600063,皖维高新,0.4265,0.2857,10.2788,285.7658,44.6557,55.3443
2057,002274,华昌化工,0.5813,0.4187,12.9608,130.8078,44.629,55.371
2058,000768,中航飞机,1.5666,0.8234,26.9311,-164.3289,44.6111,55.3889
2059,600176,中国巨石,1.0041,0.8449,30.9,564.2342,44.6035,55.3965
2060,000611,*ST天首,1.1692,1.1204,1.224,-660325.6268,44.5516,55.4484
2061,601168,西部矿业,0.9821,0.8936,45.1665,202.2009,44.5463,55.4537
2062,601518,吉林高速,1.0569,1.0555,92.682,269.8272,44.5258,55.4742
2063,000531,穗恒运A,0.7525,0.5681,46.331,418.5356,44.5219,55.4781
2064,601226,华电重工,1.5962,1.0257,21.8619,335.6317,44.5201,55.4799
2065,300111,向日葵,0.9608,0.6631,15.618,602.2275,44.4743,55.5257
2066,600410,华胜天成,1.6442,1.3466,36.3956,185.1918,44.4477,55.5523
2067,600689,上海三毛,0.9128,0.8265,32.8956,-306.8263,44.4409,55.5591
2068,603299,井神股份,0.6948,0.4833,17.5881,119.8395,44.4084,55.5916
2069,000403,ST生化,0.6459999999999999,0.2165,5.4078,394.4701,44.405,55.595
2070,002455,百川股份,0.7621,0.4733,16.3714,352.5527,44.4033,55.5967
2071,600540,新赛股份,0.8590000000000001,0.7066,34.178000000000004,4.6526,44.3835,55.6165
2072,601607,上海医药,1.4637,1.1059,31.2212,987.2556,44.3814,55.6186
2073,002437,誉衡药业,0.4504,0.3544,22.3646,897.7767,44.3255,55.6745
2074,600428,中远航运,0.8621,0.8285,52.6325,130.0535,44.3159,55.6841
2075,000993,闽东电力,0.9368,0.3574,14.8082,363.8529,44.2276,55.7724
2076,002707,众信旅游,1.1647,1.1643,34.5633,659.9566,44.2261,55.7739
2077,600537,亿晶光电,1.3736,1.1477,51.7271,2541.3149,44.2193,55.7807
2078,603169,兰石重装,1.2127,0.6979,12.6995,168.235,44.2143,55.7857
2079,002648,卫星石化,0.6497,0.493,15.0167,119.7536,44.1152,55.8848
2080,002368,太极股份,1.1621,1.0796,12.6661,113.3017,44.0919,55.9081
2081,601177,杭齿前进,1.1789,0.5643,11.6039,143.1436,44.0901,55.9099
2082,603108,润达医疗,1.401,1.0111,28.8379,427.0961,44.0613,55.9387
2083,600500,中化国际,1.3929,1.1707,46.0807,518.7175,44.0173,55.9827
2084,603520,司太立,1.2237,0.8568,37.7879,663.3018,43.9926,56.0074
2085,002169,智光电气,1.1461,0.9967,11.2852,394.8371,43.9727,56.0273
2086,000962,*ST东钽,0.8421,0.4959,20.2574,-526.6842,43.9174,56.0826
2087,600661,新南洋,0.8915,0.8168,41.6536,1222.6535,43.9166,56.0834
2088,600074,保千里,1.1283,0.7857,33.5022,1607.9460000000001,43.9114,56.0886
2089,600667,太极实业,1.2859,1.0984,58.6701,322.8668,43.8753,56.1247
2090,002321,华英农业,1.2544,1.0643,92.773,327.4073,43.7804,56.2196
2091,002803,吉宏股份,0.9834,0.7974,18.2885,474.916,43.7604,56.2396
2092,600635,大众公用,0.6522,0.5949,48.7374,728.1753,43.7566,56.2434
2093,300029,天龙光电,1.1149,0.6007,21.6724,56.0622,43.6553,56.3447
2094,002682,龙洲股份,1.0592,0.9644,27.7434,349.7292,43.6228,56.3772
2095,002668,奥马电器,1.2439,0.9666,42.8253,-3260.3494,43.6192,56.3808
2096,002325,洪涛股份,1.4239,1.4194,10.7839,905.9969,43.5792,56.4208
2097,300278,华昌达,1.1398,0.7988,19.1719,549.1902,43.5246,56.4754
2098,300296,利亚德,1.7112,1.0263,18.5579,538.3253,43.4927,56.5073
2099,600801,华新水泥,0.6529,0.4992,25.3223,114.9819,43.4777,56.5223
2100,002568,百润股份,0.7551,0.6778,47.0715,-2320.0256,43.4621,56.5379
